order_id,order_date,region,product_id,product_name,category,quantity,unit_price,discount,revenue
500000,2024-01-01,Northeast,1089,Lip Balm Set,Beauty & Personal Care,2,29.78,0.0,59.56
500001,2024-01-01,Southeast,1098,Cotton Rounds,Beauty & Personal Care,1,15.0,0.1,13.5
500002,2024-01-01,Southeast,1040,Cotton T-Shirt,Apparel,1,83.02,0.0,83.02
500003,2024-01-01,West,1052,Baseball Cap,Apparel,1,76.55,0.1,68.9
500004,2024-01-01,Southeast,1056,Linen Button-Down,Apparel,3,46.88,0.05,133.61
500005,2024-01-01,Northeast,1108,Whiteboard,Office Supplies,2,60.4,0.0,120.8
500006,2024-01-01,Northeast,1087,Sunscreen SPF 50,Beauty & Personal Care,2,27.82,0.0,55.64
500007,2024-01-01,Southwest,1086,Moisturizer Cream,Beauty & Personal Care,1,37.68,0.0,37.68
500008,2024-01-01,Southeast,1080,Camping Chair,Sports & Outdoors,1,129.24,0.05,122.78
500009,2024-01-02,West,1077,Tennis Racket,Sports & Outdoors,2,81.23,0.05,154.34
500010,2024-01-02,Midwest,1026,Blender,Home & Kitchen,1,116.63,0.0,116.63
500011,2024-01-02,Southwest,1060,Maxi Dress,Apparel,1,45.58,0.0,45.58
500012,2024-01-02,Southwest,1015,Action Camera,Electronics,1,81.81,0.0,81.81
500013,2024-01-02,Midwest,1001,Bluetooth Speaker,Electronics,3,52.59,0.15,134.1
500014,2024-01-02,Midwest,1073,Bike Helmet,Sports & Outdoors,3,197.46,0.05,562.76
500015,2024-01-02,Northeast,1059,Fleece Vest,Apparel,2,10.17,0.0,20.34
500016,2024-01-02,West,1107,File Folders (Pack),Office Supplies,3,55.29,0.0,165.87
500017,2024-01-02,Northeast,1117,Laminating Sheets,Office Supplies,2,65.36,0.0,130.72
500018,2024-01-02,Southwest,1097,Perfume,Beauty & Personal Care,1,9.17,0.05,8.71
500019,2024-01-03,Southeast,1042,Wool Sweater,Apparel,1,21.9,0.15,18.61
500020,2024-01-03,Southeast,1037,Vacuum Sealer,Home & Kitchen,2,61.48,0.0,122.96
500021,2024-01-03,Northeast,1047,Polo Shirt,Apparel,1,55.42,0.0,55.42
500022,2024-01-03,Midwest,1044,Hooded Sweatshirt,Apparel,3,65.16,0.0,195.48
500023,2024-01-04,Northeast,1119,Wall Calendar,Office Supplies,1,59.28,0.05,56.32
500024,2024-01-04,Northeast,1081,Headlamp,Sports & Outdoors,1,179.15,0.1,161.24
500025,2024-01-04,Northeast,1019,Non-Stick Frying Pan,Home & Kitchen,1,132.0,0.0,132.0
500026,2024-01-04,Midwest,1006,Webcam HD,Electronics,2,169.69,0.0,339.38
500027,2024-01-04,Midwest,1046,Athletic Leggings,Apparel,1,65.56,0.05,62.28
500028,2024-01-04,Northeast,1018,Stainless Steel Knife Set,Home & Kitchen,3,20.78,0.15,52.99
500029,2024-01-04,Southeast,1028,Spice Rack,Home & Kitchen,2,92.73,0.0,185.46
500030,2024-01-05,Northeast,1023,Cutting Board Set,Home & Kitchen,2,146.05,0.0,292.1
500031,2024-01-05,Northeast,1088,Shampoo & Conditioner Set,Beauty & Personal Care,1,59.82,0.05,56.83
500032,2024-01-05,Northeast,1009,Tablet Stand,Electronics,1,309.0,0.05,293.55
500033,2024-01-05,West,1091,Nail Care Kit,Beauty & Personal Care,1,33.61,0.05,31.93
500034,2024-01-06,Southwest,1001,Bluetooth Speaker,Electronics,1,52.59,0.0,52.59
500035,2024-01-06,Northeast,1018,Stainless Steel Knife Set,Home & Kitchen,1,20.78,0.0,20.78
500036,2024-01-06,Southwest,1090,Makeup Brush Set,Beauty & Personal Care,1,39.0,0.0,39.0
500037,2024-01-06,Southeast,1060,Maxi Dress,Apparel,1,45.58,0.05,43.3
500038,2024-01-06,Southeast,1057,Cargo Pants,Apparel,1,40.68,0.0,40.68
500039,2024-01-06,Southwest,1083,Electric Toothbrush,Beauty & Personal Care,1,22.02,0.1,19.82
500040,2024-01-06,Midwest,1100,Ballpoint Pen Set,Office Supplies,2,38.48,0.0,76.96
500041,2024-01-06,Northeast,1028,Spice Rack,Home & Kitchen,1,92.73,0.05,88.09
500042,2024-01-06,Southeast,1013,HDMI Cable,Electronics,2,195.27,0.2,312.43
500043,2024-01-07,Southeast,1001,Bluetooth Speaker,Electronics,3,52.59,0.0,157.77
500044,2024-01-07,Midwest,1029,Bamboo Utensil Set,Home & Kitchen,1,34.41,0.05,32.69
500045,2024-01-07,West,1021,Glass Food Containers,Home & Kitchen,1,130.5,0.0,130.5
500046,2024-01-07,Southwest,1097,Perfume,Beauty & Personal Care,1,9.17,0.05,8.71
500047,2024-01-07,West,1017,Laptop Sleeve,Electronics,3,174.32,0.0,522.96
500048,2024-01-07,Southeast,1054,Knit Beanie,Apparel,1,53.46,0.0,53.46
500049,2024-01-07,West,1008,Mechanical Keyboard,Electronics,2,284.69,0.0,569.38
500050,2024-01-07,Southeast,1030,Storage Bins,Home & Kitchen,1,25.89,0.05,24.6
500051,2024-01-07,Southeast,1058,Graphic Tee,Apparel,1,49.26,0.05,46.8
500052,2024-01-07,Southwest,1078,Soccer Ball,Sports & Outdoors,1,194.28,0.0,194.28
500053,2024-01-07,Southeast,1061,Chino Shorts,Apparel,1,24.05,0.0,24.05
500054,2024-01-07,Midwest,1036,Laundry Basket,Home & Kitchen,2,114.51,0.0,229.02
500055,2024-01-08,Northeast,1104,Stapler,Office Supplies,1,22.44,0.15,19.07
500056,2024-01-08,Southeast,1018,Stainless Steel Knife Set,Home & Kitchen,1,20.78,0.1,18.7
500057,2024-01-08,West,1088,Shampoo & Conditioner Set,Beauty & Personal Care,2,59.82,0.05,113.66
500058,2024-01-08,West,1026,Blender,Home & Kitchen,1,116.63,0.0,116.63
500059,2024-01-08,Southwest,1109,Label Maker,Office Supplies,1,46.95,0.05,44.6
500060,2024-01-08,Southwest,1018,Stainless Steel Knife Set,Home & Kitchen,1,20.78,0.15,17.66
500061,2024-01-08,Northeast,1073,Bike Helmet,Sports & Outdoors,1,197.46,0.15,167.84
500062,2024-01-08,Southwest,1109,Label Maker,Office Supplies,1,46.95,0.1,42.26
500063,2024-01-08,West,1034,Wall Clock,Home & Kitchen,2,11.29,0.0,22.58
500064,2024-01-08,Midwest,1023,Cutting Board Set,Home & Kitchen,1,146.05,0.0,146.05
500065,2024-01-08,West,1036,Laundry Basket,Home & Kitchen,2,114.51,0.0,229.02
500066,2024-01-09,Southwest,1055,Rain Jacket,Apparel,3,9.18,0.1,24.79
500067,2024-01-09,Southwest,1038,Toaster Oven,Home & Kitchen,2,98.36,0.0,196.72
500068,2024-01-09,Midwest,1064,Swim Trunks,Apparel,3,31.13,0.2,74.71
500069,2024-01-09,West,1044,Hooded Sweatshirt,Apparel,1,65.16,0.05,61.9
500070,2024-01-09,Northeast,1011,LED Desk Lamp,Electronics,1,91.94,0.0,91.94
500071,2024-01-09,Southeast,1024,Air Fryer,Home & Kitchen,1,15.16,0.0,15.16
500072,2024-01-09,Southwest,1045,Denim Jacket,Apparel,1,79.1,0.05,75.14
500073,2024-01-09,Northeast,1110,Calculator,Office Supplies,2,14.77,0.0,29.54
500074,2024-01-09,Southeast,1098,Cotton Rounds,Beauty & Personal Care,3,15.0,0.0,45.0
500075,2024-01-09,Midwest,1016,Power Strip,Electronics,4,273.3,0.0,1093.2
500076,2024-01-10,Southwest,1098,Cotton Rounds,Beauty & Personal Care,3,15.0,0.2,36.0
500077,2024-01-10,Northeast,1042,Wool Sweater,Apparel,2,21.9,0.05,41.61
500078,2024-01-10,Northeast,1090,Makeup Brush Set,Beauty & Personal Care,1,39.0,0.0,39.0
500079,2024-01-10,Midwest,1060,Maxi Dress,Apparel,1,45.58,0.0,45.58
500080,2024-01-10,Southwest,1028,Spice Rack,Home & Kitchen,1,92.73,0.1,83.46
500081,2024-01-10,Southwest,1096,Face Mask Set,Beauty & Personal Care,2,30.25,0.05,57.47
500082,2024-01-10,Midwest,1008,Mechanical Keyboard,Electronics,1,284.69,0.0,284.69
500083,2024-01-10,Southeast,1077,Tennis Racket,Sports & Outdoors,1,81.23,0.0,81.23
500084,2024-01-10,Northeast,1071,Foam Roller,Sports & Outdoors,1,32.24,0.1,29.02
500085,2024-01-10,Midwest,1050,Yoga Pants,Apparel,1,52.33,0.1,47.1
500086,2024-01-11,West,1012,Phone Charging Dock,Electronics,1,27.62,0.05,26.24
500087,2024-01-11,Northeast,1090,Makeup Brush Set,Beauty & Personal Care,2,39.0,0.0,78.0
500088,2024-01-11,Northeast,1030,Storage Bins,Home & Kitchen,2,25.89,0.2,41.42
500089,2024-01-11,Midwest,1027,Dish Rack,Home & Kitchen,2,85.01,0.0,170.02
